concessionaria,ano,valor
CONCER,2017,81764
CRT,2017,2377
ECOSUL,2017,7122
AUTOPISTA PLANALTO SUL,2017,223333
AUTOPISTA LITORAL SUL,2017,52543
AUTOPISTA REGIS BITTENCOURT,2017,456659
AUTOPISTA FLUMINENSE,2017,258369
TRANSBRASILIANA,2017,24132
RODOVIA DO AÇO,2017,3498
AUTOPISTA FERNÃO DIAS,2017,198272
VIA BAHIA,2017,17134
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2017,9352
MGO,2017,253575
CONCEBRA,2017,78245
CRO,2017,111267
MSVIA,2017,279518
ECOPONTE,2017,82686
VIA 040,2017,114843
VIA SUL,2017,[]
ECOVIAS DO CERRADO,2017,[]
CATARINENSE HOLDING,2017,[]
CONCEPA,2018,[]
NOVADUTRA,2018,17298
CONCER,2018,1349
CRT,2018,27211
ECOSUL,2018,7415
AUTOPISTA PLANALTO SUL,2018,119635
AUTOPISTA LITORAL SUL,2018,283119
AUTOPISTA REGIS BITTENCOURT,2018,448312
AUTOPISTA FLUMINENSE,2018,12432
TRANSBRASILIANA,2018,54747
RODOVIA DO AÇO,2018,13764
AUTOPISTA FERNÃO DIAS,2018,237451
VIA BAHIA,2018,34642
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2018,26736
MGO,2018,32547
CONCEBRA,2018,713
CRO,2018,84697
MSVIA,2018,146422
ECOPONTE,2018,81367
VIA 040,2018,67629
VIA SUL,2018,[]
ECOVIAS DO CERRADO,2018,[]
CATARINENSE HOLDING,2018,[]
CONCEPA,2019,[]
NOVADUTRA,2019,39262
CONCER,2019,8347
CRT,2019,23264
ECOSUL,2019,74682
AUTOPISTA PLANALTO SUL,2019,1342
AUTOPISTA LITORAL SUL,2019,341138
AUTOPISTA REGIS BITTENCOURT,2019,244
AUTOPISTA FLUMINENSE,2019,155686
TRANSBRASILIANA,2019,2831
RODOVIA DO AÇO,2019,5437
AUTOPISTA FERNÃO DIAS,2019,198953
VIA BAHIA,2019,73484
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2019,26526
ECO050,2019,199196
